#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (4.695016014041978717e+08+0.000000000000000000e+00j)  (-5.108576109420950306e-01-3.915086134907140192e+00j)
 (4.714994805591093898e+08+0.000000000000000000e+00j)  (7.664979017326097654e+00-1.473879534431581106e+01j)
 (4.734973597140208483e+08+0.000000000000000000e+00j)  (6.510114947034351118e-02-2.615529966365306436e+01j)
 (4.754952388689323068e+08+0.000000000000000000e+00j)  (-1.314033684922027234e+01-2.264024425046873290e+01j)
 (4.774931180238438249e+08+0.000000000000000000e+00j)  (-1.381802392437410987e+01-8.983842046840340601e+00j)
 (4.794909971787552834e+08+0.000000000000000000e+00j)  (-7.677116079797212667e-01-4.103954492802122545e+00j)
 (4.814888763336667418e+08+0.000000000000000000e+00j)  (8.251913382144229203e+00-1.519508603233125577e+01j)
 (4.834867554885782599e+08+0.000000000000000000e+00j)  (6.678721300890166912e-01-2.752244347883461018e+01j)
 (4.854846346434897184e+08+0.000000000000000000e+00j)  (-1.340083984498240177e+01-2.431890157780570760e+01j)
 (4.874825137984012365e+08+0.000000000000000000e+00j)  (-1.463575382057411289e+01-9.937815049454886918e+00j)
 (4.894803929533126950e+08+0.000000000000000000e+00j)  (-1.044568797373164992e+00-4.306631194273654373e+00j)
 (4.914782721082241535e+08+0.000000000000000000e+00j)  (8.884795897292841360e+00-1.570100163133495030e+01j)
