#    f [Hz]                    Z [Ohm]
# ------------------------------------------------
 (4.420127509415444136e+08+0.000000000000000000e+00j)  (1.728597844466025535e+01-3.312107720255845322e+00j)
 (4.440128086381124854e+08+0.000000000000000000e+00j)  (1.791255769271728937e+01+4.936556483609329860e+00j)
 (4.460128663346805573e+08+0.000000000000000000e+00j)  (2.581892104128257515e+01+7.014488757341823977e+00j)
 (4.480129240312486291e+08+0.000000000000000000e+00j)  (3.016224168082564816e+01+2.980142524723605746e-01j)
 (4.500129817278167009e+08+0.000000000000000000e+00j)  (2.509105791326424395e+01-5.789319751168184425e+00j)
 (4.520130394243847728e+08+0.000000000000000000e+00j)  (1.768453414735432361e+01-2.787617510618982664e+00j)
 (4.540130971209528446e+08+0.000000000000000000e+00j)  (1.813819494897314755e+01+5.250363909616213576e+00j)
 (4.560131548175209165e+08+0.000000000000000000e+00j)  (2.579919396680982047e+01+7.430393620997143067e+00j)
 (4.580132125140889883e+08+0.000000000000000000e+00j)  (3.017095959334547572e+01+9.744819657636631938e-01j)
 (4.600132702106570601e+08+0.000000000000000000e+00j)  (2.535621571326894497e+01-5.064836811575035291e+00j)
 (4.620133279072251320e+08+0.000000000000000000e+00j)  (1.807071600441530634e+01-2.291160344439460150e+00j)
 (4.640133856037932038e+08+0.000000000000000000e+00j)  (1.834554599495976390e+01+5.567880445674141754e+00j)
 (4.660134433003612757e+08+0.000000000000000000e+00j)  (2.578814135072497038e+01+7.866933341755673936e+00j)
 (4.680135009969293475e+08+0.000000000000000000e+00j)  (3.021221910722221082e+01+1.652994333191882603e+00j)
 (4.700135586934974194e+08+0.000000000000000000e+00j)  (2.564358628530336404e+01-4.365624347458401999e+00j)
 (4.720136163900654912e+08+0.000000000000000000e+00j)  (1.844940457995193128e+01-1.818140722106227791e+00j)
 (4.740136740866335630e+08+0.000000000000000000e+00j)  (1.853664904339038344e+01+5.891554407889847411e+00j)
 (4.760137317832016349e+08+0.000000000000000000e+00j)  (2.578506672657443133e+01+8.328731761114960719e+00j)
 (4.780137894797697067e+08+0.000000000000000000e+00j)  (3.028673833350699951e+01+2.341402621545871199e+00j)
 (4.800138471763377786e+08+0.000000000000000000e+00j)  (2.595740613618101378e+01-3.684291691816789616e+00j)
 (4.820139048729058504e+08+0.000000000000000000e+00j)  (1.882536074188155339e+01-1.364624266736337077e+00j)
 (4.840139625694739223e+08+0.000000000000000000e+00j)  (1.871309186994442797e+01+6.223965657627108072e+00j)
 (4.860140202660419941e+08+0.000000000000000000e+00j)  (2.578942660567692258e+01+8.821171015012536643e+00j)
 (4.880140779626101255e+08+0.000000000000000000e+00j)  (3.039616195142528809e+01+3.048004993809944718e+00j)
 (4.900141356591781974e+08+0.000000000000000000e+00j)  (2.630278104656090932e+01-3.013803696867227266e+00j)
 (4.920141933557462692e+08+0.000000000000000000e+00j)  (1.920339335590456287e+01-9.272151376559434333e-01j)
 (4.940142510523143411e+08+0.000000000000000000e+00j)  (1.887600835643374708e+01+6.567926233148818405e+00j)
 (4.960143087488824129e+08+0.000000000000000000e+00j)  (2.580075024340446177e+01+9.350671693894222258e+00j)
 (4.980143664454504848e+08+0.000000000000000000e+00j)  (3.054313280161491306e+01+3.781968046806916117e+00j)
